date,month,product,category,region,quantity,unit_price,total_sales
2025-01-03,January,Latte,Beverage,Downtown,3,4.5,13.5
2025-01-03,January,Bagel,Bakery,Suburban,1,2.95,2.95
2025-01-03,January,Latte,Beverage,Uptown,2,4.5,9.0
2025-01-03,January,Espresso,Beverage,Uptown,2,3.25,6.5
2025-01-03,January,Muffin,Bakery,Uptown,3,3.25,9.75
2025-01-03,January,Cold Brew,Beverage,Uptown,2,4.0,8.0
2025-01-03,January,Muffin,Bakery,Downtown,1,3.25,3.25
2025-01-03,January,Cold Brew,Beverage,Downtown,1,4.0,4.0
2025-01-03,January,Espresso,Beverage,Suburban,3,3.25,9.75
2025-01-03,January,Muffin,Bakery,Suburban,2,3.25,6.5
2025-01-03,January,Espresso,Beverage,Uptown,3,3.25,9.75
2025-01-03,January,Bagel,Bakery,Uptown,1,2.95,2.95
2025-01-03,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-03,January,Espresso,Beverage,Downtown,2,3.25,6.5
2025-01-03,January,Latte,Beverage,Uptown,3,4.5,13.5
2025-01-03,January,Croissant,Bakery,Suburban,2,3.75,7.5
2025-01-03,January,Espresso,Beverage,Downtown,2,3.25,6.5
2025-01-04,January,Bagel,Bakery,Suburban,2,2.95,5.9
2025-01-04,January,Cold Brew,Beverage,Uptown,3,4.0,12.0
2025-01-04,January,Latte,Beverage,Suburban,3,4.5,13.5
2025-01-04,January,Latte,Beverage,Downtown,3,4.5,13.5
2025-01-04,January,Muffin,Bakery,Uptown,3,3.25,9.75
2025-01-04,January,Muffin,Bakery,Downtown,1,3.25,3.25
2025-01-04,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-04,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-04,January,Latte,Beverage,Downtown,3,4.5,13.5
2025-01-04,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-04,January,Latte,Beverage,Suburban,2,4.5,9.0
2025-01-04,January,Espresso,Beverage,Uptown,3,3.25,9.75
2025-01-04,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-04,January,Latte,Beverage,Downtown,2,4.5,9.0
2025-01-04,January,Croissant,Bakery,Uptown,1,3.75,3.75
2025-01-04,January,Croissant,Bakery,Suburban,1,3.75,3.75
2025-01-04,January,Cold Brew,Beverage,Downtown,3,4.0,12.0
2025-01-04,January,Latte,Beverage,Downtown,2,4.5,9.0
2025-01-04,January,Latte,Beverage,Downtown,2,4.5,9.0
2025-01-04,January,Muffin,Bakery,Downtown,1,3.25,3.25
2025-01-05,January,Muffin,Bakery,Downtown,1,3.25,3.25
2025-01-05,January,Bagel,Bakery,Uptown,3,2.95,8.85
2025-01-05,January,Cold Brew,Beverage,Uptown,2,4.0,8.0
2025-01-05,January,Croissant,Bakery,Downtown,1,3.75,3.75
2025-01-05,January,Espresso,Beverage,Uptown,3,3.25,9.75
2025-01-05,January,Cold Brew,Beverage,Suburban,2,4.0,8.0
2025-01-05,January,Espresso,Beverage,Downtown,1,3.25,3.25
2025-01-05,January,Cold Brew,Beverage,Uptown,3,4.0,12.0
2025-01-05,January,Cold Brew,Beverage,Downtown,3,4.0,12.0
2025-01-05,January,Croissant,Bakery,Uptown,2,3.75,7.5
2025-01-05,January,Muffin,Bakery,Suburban,1,3.25,3.25
2025-01-05,January,Latte,Beverage,Uptown,2,4.5,9.0
2025-01-05,January,Bagel,Bakery,Downtown,2,2.95,5.9
2025-01-05,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-05,January,Espresso,Beverage,Uptown,3,3.25,9.75
2025-01-05,January,Espresso,Beverage,Uptown,1,3.25,3.25
2025-01-05,January,Latte,Beverage,Uptown,1,4.5,4.5
2025-01-05,January,Muffin,Bakery,Downtown,1,3.25,3.25
2025-01-05,January,Latte,Beverage,Suburban,2,4.5,9.0
2025-01-05,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-05,January,Latte,Beverage,Uptown,1,4.5,4.5
2025-01-05,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-05,January,Latte,Beverage,Downtown,1,4.5,4.5
2025-01-06,January,Croissant,Bakery,Downtown,2,3.75,7.5
2025-01-06,January,Muffin,Bakery,Suburban,2,3.25,6.5
2025-01-06,January,Bagel,Bakery,Downtown,1,2.95,2.95
2025-01-06,January,Bagel,Bakery,Downtown,2,2.95,5.9
2025-01-06,January,Croissant,Bakery,Suburban,2,3.75,7.5
2025-01-06,January,Latte,Beverage,Suburban,3,4.5,13.5
2025-01-06,January,Latte,Beverage,Uptown,1,4.5,4.5
2025-01-06,January,Espresso,Beverage,Uptown,1,3.25,3.25
2025-01-06,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-06,January,Bagel,Bakery,Suburban,1,2.95,2.95
2025-01-06,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-06,January,Bagel,Bakery,Uptown,1,2.95,2.95
2025-01-06,January,Cold Brew,Beverage,Downtown,1,4.0,4.0
2025-01-06,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-06,January,Cold Brew,Beverage,Suburban,2,4.0,8.0
2025-01-06,January,Espresso,Beverage,Suburban,3,3.25,9.75
2025-01-06,January,Cold Brew,Beverage,Downtown,1,4.0,4.0
2025-01-06,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-06,January,Espresso,Beverage,Downtown,1,3.25,3.25
2025-01-06,January,Muffin,Bakery,Downtown,3,3.25,9.75
2025-01-06,January,Muffin,Bakery,Uptown,1,3.25,3.25
2025-01-06,January,Croissant,Bakery,Suburban,3,3.75,11.25
2025-01-06,January,Espresso,Beverage,Downtown,1,3.25,3.25
2025-01-07,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-07,January,Bagel,Bakery,Uptown,2,2.95,5.9
2025-01-07,January,Cold Brew,Beverage,Suburban,1,4.0,4.0
2025-01-07,January,Espresso,Beverage,Downtown,1,3.25,3.25
2025-01-07,January,Latte,Beverage,Downtown,1,4.5,4.5
2025-01-07,January,Muffin,Bakery,Downtown,3,3.25,9.75
2025-01-07,January,Latte,Beverage,Suburban,2,4.5,9.0
2025-01-07,January,Muffin,Bakery,Uptown,3,3.25,9.75
2025-01-07,January,Cold Brew,Beverage,Suburban,1,4.0,4.0
2025-01-07,January,Muffin,Bakery,Suburban,1,3.25,3.25
2025-01-07,January,Espresso,Beverage,Suburban,3,3.25,9.75
2025-01-07,January,Espresso,Beverage,Downtown,2,3.25,6.5
2025-01-07,January,Croissant,Bakery,Downtown,3,3.75,11.25
2025-01-07,January,Cold Brew,Beverage,Downtown,3,4.0,12.0
2025-01-07,January,Espresso,Beverage,Uptown,2,3.25,6.5
2025-01-07,January,Croissant,Bakery,Suburban,1,3.75,3.75
2025-01-07,January,Croissant,Bakery,Suburban,1,3.75,3.75
2025-01-07,January,Bagel,Bakery,Downtown,2,2.95,5.9
2025-01-07,January,Croissant,Bakery,Downtown,2,3.75,7.5
2025-01-08,January,Bagel,Bakery,Suburban,1,2.95,2.95
2025-01-08,January,Espresso,Beverage,Uptown,3,3.25,9.75
2025-01-08,January,Espresso,Beverage,Downtown,3,3.25,9.75
2025-01-08,January,Croissant,Bakery,Suburban,1,3.75,3.75
2025-01-08,January,Muffin,Bakery,Uptown,3,3.25,9.75
2025-01-08,January,Cold Brew,Beverage,Suburban,2,4.0,8.0
2025-01-08,January,Bagel,Bakery,Uptown,1,2.95,2.95
2025-01-08,January,Espresso,Beverage,Suburban,1,3.25,3.25
2025-01-08,January,Latte,Beverage,Uptown,3,4.5,13.5
2025-01-08,January,Latte,Beverage,Uptown,2,4.5,9.0
2025-01-08,January,Muffin,Bakery,Suburban,2,3.25,6.5
2025-01-08,January,Bagel,Bakery,Uptown,3,2.95,8.85
2025-01-08,January,Latte,Beverage,Downtown,2,4.5,9.0
2025-01-08,January,Cold Brew,Beverage,Uptown,3,4.0,12.0
2025-01-08,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-08,January,Bagel,Bakery,Uptown,1,2.95,2.95
2025-01-08,January,Croissant,Bakery,Downtown,1,3.75,3.75
2025-01-08,January,Latte,Beverage,Suburban,3,4.5,13.5
2025-01-08,January,Bagel,Bakery,Suburban,3,2.95,8.85
2025-01-08,January,Espresso,Beverage,Downtown,3,3.25,9.75
2025-01-08,January,Cold Brew,Beverage,Uptown,2,4.0,8.0
2025-01-08,January,Espresso,Beverage,Suburban,1,3.25,3.25
2025-01-08,January,Latte,Beverage,Suburban,1,4.5,4.5
2025-01-08,January,Espresso,Beverage,Suburban,3,3.25,9.75
2025-01-09,January,Espresso,Beverage,Downtown,1,3.25,3.25
2025-01-09,January,Croissant,Bakery,Uptown,1,3.75,3.75
2025-01-09,January,Espresso,Beverage,Downtown,2,3.25,6.5
2025-01-09,January,Muffin,Bakery,Downtown,1,3.25,3.25
2025-01-09,January,Latte,Beverage,Downtown,3,4.5,13.5
2025-01-09,January,Cold Brew,Beverage,Uptown,2,4.0,8.0
2025-01-09,January,Muffin,Bakery,Uptown,3,3.25,9.75
2025-01-09,January,Muffin,Bakery,Suburban,1,3.25,3.25
2025-01-09,January,Croissant,Bakery,Suburban,3,3.75,11.25
2025-01-09,January,Muffin,Bakery,Uptown,3,3.25,9.75
2025-01-09,January,Espresso,Beverage,Downtown,2,3.25,6.5
2025-01-09,January,Bagel,Bakery,Downtown,1,2.95,2.95
2025-01-09,January,Latte,Beverage,Uptown,2,4.5,9.0
2025-01-09,January,Bagel,Bakery,Downtown,2,2.95,5.9
2025-01-09,January,Espresso,Beverage,Uptown,1,3.25,3.25
2025-01-09,January,Bagel,Bakery,Suburban,2,2.95,5.9
2025-01-09,January,Espresso,Beverage,Suburban,1,3.25,3.25
2025-01-09,January,Espresso,Beverage,Uptown,1,3.25,3.25
2025-01-09,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-09,January,Bagel,Bakery,Suburban,3,2.95,8.85
2025-01-09,January,Bagel,Bakery,Suburban,1,2.95,2.95
2025-01-09,January,Latte,Beverage,Uptown,3,4.5,13.5
2025-01-09,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-10,January,Muffin,Bakery,Downtown,3,3.25,9.75
2025-01-10,January,Muffin,Bakery,Downtown,2,3.25,6.5
2025-01-10,January,Croissant,Bakery,Suburban,3,3.75,11.25
2025-01-10,January,Bagel,Bakery,Suburban,2,2.95,5.9
2025-01-10,January,Cold Brew,Beverage,Uptown,3,4.0,12.0
2025-01-10,January,Latte,Beverage,Downtown,1,4.5,4.5
2025-01-10,January,Espresso,Beverage,Uptown,2,3.25,6.5
2025-01-10,January,Espresso,Beverage,Uptown,2,3.25,6.5
2025-01-10,January,Latte,Beverage,Uptown,2,4.5,9.0
2025-01-10,January,Croissant,Bakery,Suburban,2,3.75,7.5
2025-01-10,January,Latte,Beverage,Uptown,2,4.5,9.0
2025-01-10,January,Latte,Beverage,Downtown,3,4.5,13.5
2025-01-10,January,Latte,Beverage,Suburban,3,4.5,13.5
2025-01-10,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-10,January,Cold Brew,Beverage,Downtown,3,4.0,12.0
2025-01-10,January,Cold Brew,Beverage,Suburban,2,4.0,8.0
2025-01-10,January,Bagel,Bakery,Uptown,2,2.95,5.9
2025-01-10,January,Latte,Beverage,Uptown,3,4.5,13.5
2025-01-10,January,Croissant,Bakery,Uptown,3,3.75,11.25
2025-01-10,January,Espresso,Beverage,Downtown,1,3.25,3.25
2025-01-10,January,Muffin,Bakery,Downtown,1,3.25,3.25
2025-01-10,January,Croissant,Bakery,Uptown,3,3.75,11.25
2025-01-10,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-10,January,Bagel,Bakery,Uptown,2,2.95,5.9
2025-01-11,January,Croissant,Bakery,Uptown,3,3.75,11.25
2025-01-11,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-11,January,Muffin,Bakery,Suburban,1,3.25,3.25
2025-01-11,January,Bagel,Bakery,Suburban,1,2.95,2.95
2025-01-11,January,Cold Brew,Beverage,Uptown,2,4.0,8.0
2025-01-11,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-11,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-11,January,Latte,Beverage,Uptown,3,4.5,13.5
2025-01-11,January,Espresso,Beverage,Uptown,1,3.25,3.25
2025-01-11,January,Croissant,Bakery,Downtown,1,3.75,3.75
2025-01-11,January,Espresso,Beverage,Downtown,2,3.25,6.5
2025-01-11,January,Croissant,Bakery,Uptown,2,3.75,7.5
2025-01-11,January,Muffin,Bakery,Suburban,2,3.25,6.5
2025-01-11,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-11,January,Croissant,Bakery,Downtown,2,3.75,7.5
2025-01-11,January,Croissant,Bakery,Suburban,1,3.75,3.75
2025-01-12,January,Espresso,Beverage,Downtown,3,3.25,9.75
2025-01-12,January,Muffin,Bakery,Uptown,1,3.25,3.25
2025-01-12,January,Croissant,Bakery,Uptown,3,3.75,11.25
2025-01-12,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-12,January,Muffin,Bakery,Uptown,3,3.25,9.75
2025-01-12,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-12,January,Muffin,Bakery,Downtown,2,3.25,6.5
2025-01-12,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-12,January,Latte,Beverage,Downtown,1,4.5,4.5
2025-01-12,January,Bagel,Bakery,Downtown,1,2.95,2.95
2025-01-12,January,Bagel,Bakery,Uptown,2,2.95,5.9
2025-01-12,January,Muffin,Bakery,Downtown,2,3.25,6.5
2025-01-12,January,Muffin,Bakery,Uptown,1,3.25,3.25
2025-01-12,January,Bagel,Bakery,Uptown,3,2.95,8.85
2025-01-12,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-12,January,Espresso,Beverage,Uptown,2,3.25,6.5
2025-01-12,January,Bagel,Bakery,Suburban,1,2.95,2.95
2025-01-12,January,Bagel,Bakery,Uptown,3,2.95,8.85
2025-01-12,January,Espresso,Beverage,Suburban,1,3.25,3.25
2025-01-12,January,Bagel,Bakery,Downtown,2,2.95,5.9
2025-01-12,January,Espresso,Beverage,Uptown,2,3.25,6.5
2025-01-12,January,Espresso,Beverage,Uptown,3,3.25,9.75
2025-01-12,January,Espresso,Beverage,Uptown,1,3.25,3.25
2025-01-12,January,Muffin,Bakery,Uptown,3,3.25,9.75
2025-01-12,January,Latte,Beverage,Uptown,3,4.5,13.5
2025-01-12,January,Latte,Beverage,Downtown,2,4.5,9.0
2025-01-12,January,Latte,Beverage,Suburban,2,4.5,9.0
2025-01-13,January,Muffin,Bakery,Downtown,2,3.25,6.5
2025-01-13,January,Cold Brew,Beverage,Downtown,3,4.0,12.0
2025-01-13,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-13,January,Muffin,Bakery,Downtown,3,3.25,9.75
2025-01-13,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-13,January,Espresso,Beverage,Downtown,2,3.25,6.5
2025-01-13,January,Croissant,Bakery,Downtown,2,3.75,7.5
2025-01-13,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-13,January,Espresso,Beverage,Downtown,1,3.25,3.25
2025-01-13,January,Cold Brew,Beverage,Suburban,1,4.0,4.0
2025-01-13,January,Muffin,Bakery,Downtown,3,3.25,9.75
2025-01-13,January,Espresso,Beverage,Downtown,3,3.25,9.75
2025-01-13,January,Croissant,Bakery,Downtown,3,3.75,11.25
2025-01-13,January,Espresso,Beverage,Downtown,1,3.25,3.25
2025-01-13,January,Espresso,Beverage,Uptown,3,3.25,9.75
2025-01-13,January,Bagel,Bakery,Suburban,3,2.95,8.85
2025-01-13,January,Latte,Beverage,Suburban,1,4.5,4.5
2025-01-13,January,Latte,Beverage,Suburban,1,4.5,4.5
2025-01-13,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-13,January,Espresso,Beverage,Suburban,3,3.25,9.75
2025-01-13,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-13,January,Cold Brew,Beverage,Uptown,1,4.0,4.0
2025-01-13,January,Latte,Beverage,Downtown,1,4.5,4.5
2025-01-13,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-13,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-13,January,Espresso,Beverage,Uptown,3,3.25,9.75
2025-01-14,January,Muffin,Bakery,Downtown,3,3.25,9.75
2025-01-14,January,Latte,Beverage,Downtown,1,4.5,4.5
2025-01-14,January,Espresso,Beverage,Uptown,3,3.25,9.75
2025-01-14,January,Bagel,Bakery,Uptown,3,2.95,8.85
2025-01-14,January,Croissant,Bakery,Downtown,1,3.75,3.75
2025-01-14,January,Croissant,Bakery,Downtown,1,3.75,3.75
2025-01-14,January,Latte,Beverage,Uptown,3,4.5,13.5
2025-01-14,January,Muffin,Bakery,Downtown,2,3.25,6.5
2025-01-14,January,Cold Brew,Beverage,Suburban,1,4.0,4.0
2025-01-14,January,Latte,Beverage,Suburban,2,4.5,9.0
2025-01-14,January,Croissant,Bakery,Uptown,2,3.75,7.5
2025-01-14,January,Muffin,Bakery,Uptown,1,3.25,3.25
2025-01-14,January,Bagel,Bakery,Uptown,2,2.95,5.9
2025-01-14,January,Espresso,Beverage,Suburban,1,3.25,3.25
2025-01-14,January,Croissant,Bakery,Uptown,1,3.75,3.75
2025-01-14,January,Croissant,Bakery,Suburban,2,3.75,7.5
2025-01-14,January,Latte,Beverage,Uptown,2,4.5,9.0
2025-01-15,January,Espresso,Beverage,Uptown,1,3.25,3.25
2025-01-15,January,Croissant,Bakery,Uptown,3,3.75,11.25
2025-01-15,January,Bagel,Bakery,Downtown,2,2.95,5.9
2025-01-15,January,Espresso,Beverage,Downtown,3,3.25,9.75
2025-01-15,January,Bagel,Bakery,Downtown,1,2.95,2.95
2025-01-15,January,Latte,Beverage,Uptown,2,4.5,9.0
2025-01-15,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-15,January,Croissant,Bakery,Uptown,3,3.75,11.25
2025-01-15,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-15,January,Latte,Beverage,Uptown,3,4.5,13.5
2025-01-15,January,Croissant,Bakery,Suburban,1,3.75,3.75
2025-01-15,January,Espresso,Beverage,Uptown,1,3.25,3.25
2025-01-15,January,Cold Brew,Beverage,Downtown,2,4.0,8.0
2025-01-15,January,Latte,Beverage,Uptown,1,4.5,4.5
2025-01-15,January,Cold Brew,Beverage,Uptown,2,4.0,8.0
2025-01-15,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-15,January,Croissant,Bakery,Uptown,2,3.75,7.5
2025-01-15,January,Latte,Beverage,Suburban,1,4.5,4.5
2025-01-15,January,Cold Brew,Beverage,Downtown,2,4.0,8.0
2025-01-15,January,Cold Brew,Beverage,Uptown,2,4.0,8.0
2025-01-15,January,Croissant,Bakery,Suburban,2,3.75,7.5
2025-01-15,January,Croissant,Bakery,Suburban,3,3.75,11.25
2025-01-15,January,Croissant,Bakery,Downtown,3,3.75,11.25
2025-01-15,January,Bagel,Bakery,Uptown,3,2.95,8.85
2025-01-15,January,Muffin,Bakery,Downtown,2,3.25,6.5
2025-01-15,January,Muffin,Bakery,Downtown,1,3.25,3.25
2025-01-15,January,Croissant,Bakery,Uptown,3,3.75,11.25
2025-01-15,January,Cold Brew,Beverage,Downtown,1,4.0,4.0
2025-01-15,January,Espresso,Beverage,Suburban,1,3.25,3.25
2025-01-16,January,Muffin,Bakery,Downtown,1,3.25,3.25
2025-01-16,January,Latte,Beverage,Uptown,2,4.5,9.0
2025-01-16,January,Cold Brew,Beverage,Suburban,1,4.0,4.0
2025-01-16,January,Latte,Beverage,Suburban,1,4.5,4.5
2025-01-16,January,Bagel,Bakery,Uptown,1,2.95,2.95
2025-01-16,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-16,January,Cold Brew,Beverage,Suburban,2,4.0,8.0
2025-01-16,January,Espresso,Beverage,Uptown,1,3.25,3.25
2025-01-16,January,Muffin,Bakery,Uptown,1,3.25,3.25
2025-01-16,January,Cold Brew,Beverage,Suburban,2,4.0,8.0
2025-01-16,January,Espresso,Beverage,Uptown,3,3.25,9.75
2025-01-16,January,Muffin,Bakery,Downtown,2,3.25,6.5
2025-01-16,January,Muffin,Bakery,Downtown,3,3.25,9.75
2025-01-16,January,Muffin,Bakery,Uptown,3,3.25,9.75
2025-01-16,January,Bagel,Bakery,Uptown,2,2.95,5.9
2025-01-16,January,Espresso,Beverage,Downtown,3,3.25,9.75
2025-01-16,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-16,January,Espresso,Beverage,Downtown,3,3.25,9.75
2025-01-16,January,Cold Brew,Beverage,Suburban,3,4.0,12.0
2025-01-16,January,Bagel,Bakery,Uptown,3,2.95,8.85
2025-01-16,January,Latte,Beverage,Suburban,3,4.5,13.5
2025-01-16,January,Bagel,Bakery,Downtown,2,2.95,5.9
2025-01-16,January,Croissant,Bakery,Suburban,2,3.75,7.5
2025-01-16,January,Cold Brew,Beverage,Downtown,1,4.0,4.0
2025-01-16,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-16,January,Cold Brew,Beverage,Uptown,2,4.0,8.0
2025-01-16,January,Bagel,Bakery,Downtown,1,2.95,2.95
2025-01-17,January,Latte,Beverage,Suburban,3,4.5,13.5
2025-01-17,January,Espresso,Beverage,Downtown,2,3.25,6.5
2025-01-17,January,Latte,Beverage,Downtown,1,4.5,4.5
2025-01-17,January,Cold Brew,Beverage,Uptown,3,4.0,12.0
2025-01-17,January,Muffin,Bakery,Downtown,2,3.25,6.5
2025-01-17,January,Espresso,Beverage,Downtown,1,3.25,3.25
2025-01-17,January,Bagel,Bakery,Suburban,3,2.95,8.85
2025-01-17,January,Croissant,Bakery,Uptown,2,3.75,7.5
2025-01-17,January,Cold Brew,Beverage,Suburban,3,4.0,12.0
2025-01-17,January,Muffin,Bakery,Downtown,2,3.25,6.5
2025-01-17,January,Muffin,Bakery,Suburban,2,3.25,6.5
2025-01-17,January,Croissant,Bakery,Uptown,3,3.75,11.25
2025-01-17,January,Bagel,Bakery,Downtown,3,2.95,8.85
2025-01-17,January,Cold Brew,Beverage,Suburban,2,4.0,8.0
2025-01-17,January,Muffin,Bakery,Uptown,3,3.25,9.75
2025-01-17,January,Croissant,Bakery,Suburban,2,3.75,7.5
2025-01-17,January,Latte,Beverage,Downtown,2,4.5,9.0
2025-01-18,January,Cold Brew,Beverage,Uptown,2,4.0,8.0
2025-01-18,January,Cold Brew,Beverage,Uptown,3,4.0,12.0
2025-01-18,January,Croissant,Bakery,Downtown,1,3.75,3.75
2025-01-18,January,Cold Brew,Beverage,Suburban,3,4.0,12.0
2025-01-18,January,Croissant,Bakery,Uptown,2,3.75,7.5
2025-01-18,January,Latte,Beverage,Uptown,1,4.5,4.5
2025-01-18,January,Latte,Beverage,Downtown,1,4.5,4.5
2025-01-18,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-18,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-18,January,Latte,Beverage,Uptown,1,4.5,4.5
2025-01-18,January,Croissant,Bakery,Uptown,1,3.75,3.75
2025-01-18,January,Latte,Beverage,Suburban,1,4.5,4.5
2025-01-18,January,Croissant,Bakery,Suburban,2,3.75,7.5
2025-01-18,January,Bagel,Bakery,Uptown,3,2.95,8.85
2025-01-18,January,Bagel,Bakery,Suburban,2,2.95,5.9
2025-01-18,January,Muffin,Bakery,Suburban,2,3.25,6.5
2025-01-18,January,Croissant,Bakery,Downtown,3,3.75,11.25
2025-01-18,January,Bagel,Bakery,Suburban,2,2.95,5.9
2025-01-18,January,Cold Brew,Beverage,Downtown,3,4.0,12.0
2025-01-18,January,Espresso,Beverage,Suburban,2,3.25,6.5
2025-01-18,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-18,January,Croissant,Bakery,Uptown,3,3.75,11.25
2025-01-18,January,Cold Brew,Beverage,Downtown,3,4.0,12.0
2025-01-18,January,Bagel,Bakery,Downtown,1,2.95,2.95
2025-01-18,January,Muffin,Bakery,Suburban,3,3.25,9.75
2025-01-18,January,Muffin,Bakery,Uptown,2,3.25,6.5
2025-01-18,January,Espresso,Beverage,Downtown,1,3.25,3.25
2025-01-19,January,Croissant,Bakery,Suburban,3,3.75,11.25
2025-01-19,January,Cold Brew,Beverage,Suburban,3,4.0,12.0
